667 Main St,Woodstock,NB,-67.572999999999993,46.150669999999998
360 Connell St,Woodstock,NB,-67.598500000000001,46.168610000000001
194 Beardsley Rd,Woodstock,NB,-67.605800000000002,46.122300000000003
542 Main St,Hartland,NB,-67.5304,46.305289999999999
290 North St.,Houlton,ME,-67.840400000000002,46.145150000000001
8826 Main Street,Bristol,NB,-67.606999999999999,46.452800000000003
22 Tribe Rd.,Perth Andover,NB,-67.715400000000002,46.738999999999997
1713 Woodstock Rd,Fredericton,NB,-66.722399999999993,45.967300000000002
779 N.Main St.,Presque Isle,ME,-68.010400000000004,46.699860000000001
Aroostook Centre Mall,Presque Isle,ME,-68.009699999999995,46.701230000000002
1160 Hanwell Rd,Fredericton,NB,-66.692599999999999,45.947719999999997
1050 Douglas Ave,Fredericton,NB,-66.650999999999996,45.988669999999999
375 Smythe St,Fredericton,NB,-66.654600000000002,45.960509999999999
290 Main St,Fredericton,NB,-66.646500000000003,45.975529999999999
1189 Prospect St,Fredericton,NB,-66.661100000000005,45.939259999999997
612 King St,Fredericton,NB,-66.638499999999993,45.95975
534 Union St,Fredericton,NB,-66.632999999999996,45.970039999999997
564 St-Thomas University,Fredericton,NB,-66.639499999999998,45.94905
University of New Brunswick-Fredericton Campus,Fredericton,NB,-66.641099999999994,45.944389999999999
247 Canada St,Fredericton,NB,-66.592699999999994,45.978560000000002
109 Bennett Dr.,Caribou,ME,-68.004800000000003,46.864359999999998
280 Restigouche Rd,Oromocto,NB,-66.494299999999996,45.840069999999997
3 Gateway Dr,Oromocto,NB,-66.488699999999994,45.833210000000001
1012 Onondaga St,Oromocto,NB,-66.477000000000004,45.851860000000002
199 Main St,Grand Falls,NB,-67.745800000000003,47.046109999999999
452 Madawaska Rd,Grand Falls,NB,-67.747699999999995,47.05583
131 King St,St. Stephen,NB,-67.274199999999993,45.19802
388 St-Jean St,St. Leonard,NB,-67.918199999999999,47.1676
4 Union St,Minto,NB,-66.0608,46.070279999999997
330 Main St,Doaktown,NB,-66.132999999999996,46.554569999999998
203 Mowatt Dr,St. Andrews,NB,-67.0625,45.084099999999999
Upper Letang,St. George,NB,-66.825699999999998,45.119639999999997
Madawaska Centre,St. Basile,NB,-68.223600000000005,47.35548
262 Principale St,Saint-Jacques,NB,-68.227500000000006,47.35613
3701 Westfield Rd,Saint John,NB,-66.193100000000001,45.289250000000003
155 Victoria St,Edmundston,NB,-68.322100000000006,47.367719999999998
University of New Brunswick,Saint John,NB,-66.082400000000007,45.306049999999999
173 Hampton Rd,Rothesay,NB,-65.984800000000007,45.395150000000001
40 University Ave,Saint John,NB,-66.095299999999995,45.293759999999999
117 Hampton Rd,Rothesay,NB,-65.980800000000002,45.397829999999999
Saint John Hospital,Saint John,NB,-66.084500000000006,45.299990000000001
684 Victoria Street,Edmundston,NB,-68.340000000000003,47.38843
3 Industrial Dr,Quispamsis,NB,-65.946299999999994,45.41451
54 Rue Canada,Saint-Quentin,NB,-67.392399999999995,47.498460000000001
Lansdowne Place,Saint John,NB,-66.076899999999995,45.27749
640 Manawagonish Rd,Saint John,NB,-66.1006,45.256599999999999
470 Main St,Hampton,NB,-65.832700000000003,45.520420000000001
158 Main St W,Saint John,NB,-66.093100000000007,45.256439999999998
199 Hilyard St,Saint John,NB,-66.069400000000002,45.275480000000002
Lancaster Mall,Saint John,NB,-66.094300000000004,45.25497
447 Rothesay Ave,Saint John,NB,-66.033100000000005,45.305059999999997
Exhibition Plaza,Saint John,NB,-66.021000000000001,45.312199999999997
Harbour Station,Saint John,NB,-66.063500000000005,45.276049999999998
1 Market Square,Saint John,NB,-66.062799999999996,45.274419999999999
Brunswick Square Fashion Centr,Saint John,NB,-66.060699999999997,45.273130000000002
31 Waterloo St,Saint John,NB,-66.057199999999995,45.275919999999999
52 King Street,Saint John,NB,-66.060500000000005,45.273159999999997
265 King St W,Saint John,NB,-66.075900000000004,45.260150000000003
20 Russell St,Saint John,NB,-66.0428,45.287190000000002
McAllister Place,Saint John,NB,-66.016000000000005,45.310029999999998
Loch Lomond Shopping Mall,Saint John,NB,-66.028199999999998,45.287680000000002
1100 Loch Lomond Rd,Saint John,NB,-65.995199999999997,45.302840000000003
975 Stillwater Avenue,Old Town,ME,-68.682000000000002,44.915889999999997
130 Main St,Sussex,NB,-65.529799999999994,45.725200000000001
638 Main St,Sussex,NB,-65.507000000000005,45.723179999999999
Coldstone Creamery,Bangor,ME,-68.777199999999993,44.821190000000001
11045 Main St,Rogersville,NB,-65.428100000000001,46.733220000000003
Cold Stone Creamery,Brewer,ME,-68.750200000000007,44.785049999999998
444 Main St.,Bangor,ME,-68.776600000000002,44.790990000000001
301 Odlin Road,Bangor,ME,-68.810000000000002,44.79036
467 King George Hwy,Miramichi,NB,-65.569400000000002,46.999560000000002
120 Newcastle Blvd,Miramichi,NB,-65.564800000000005,47.001550000000002
1780 Water St,Miramichi,NB,-65.546199999999999,47.002189999999999
2525 King George Hwy,Miramichi,NB,-65.488600000000005,47.03125
11 Smith Street,Petticodiac,NB,-65.167699999999996,45.931620000000002
188 King St,Miramichi,NB,-65.445099999999996,47.020400000000002
2980 Fredericton Rd,Salisbury,NB,-65.060599999999994,46.050179999999997
4 Lunt Road,Newport,ME,-69.283699999999996,44.838369999999998
2731 Mountain Rd,Moncton,NB,-64.885999999999996,46.133420000000001
1810 Mountain Rd,Moncton,NB,-64.8476,46.12162
Moncton Coliseum,Moncton,NB,-64.832700000000003,46.094230000000003
10 Plaza Blvd.,Moncton,NB,-64.826099999999997,46.113889999999998
